alpha1,alpha2,alpha3,alpha4,alpha5,alpha6,alpha7,alpha8,alpha9,alpha10,day_-2_profit,day_-1_profit,day_0_profit,total_profit
-75,-75,-15,-15,10,10,50,70,70,70,18428,19619,18862,56908
-80,-75,-15,-15,10,10,50,70,70,70,18428,19619,18862,56908
-75,-75,-25,-15,0,10,60,70,70,80,18405,19653,18848,56906
-80,-80,-25,-15,0,10,50,70,70,70,18428,19653,18826,56906
-80,-80,-35,-15,0,10,50,70,70,70,18428,19653,18826,56906
-70,-70,-25,-15,0,10,60,70,70,80,18405,19653,18848,56906
-70,-70,-35,-15,0,10,60,70,70,80,18405,19653,18848,56906
-75,-70,-25,-15,0,10,60,70,70,80,18405,19653,18848,56906
-75,-70,-35,-15,0,10,60,70,70,80,18405,19653,18848,56906
-80,-70,-35,-15,0,10,60,70,70,80,18405,19653,18848,56906
-75,-75,-35,-15,0,10,60,70,70,80,18405,19653,18848,56906
-80,-70,-25,-15,0,10,60,70,70,80,18405,19653,18848,56906
-80,-75,-25,-15,0,10,60,70,70,80,18405,19653,18848,56906
-80,-75,-35,-15,0,10,60,70,70,80,18405,19653,18848,56906
-80,-80,-25,-15,10,10,60,70,70,80,18405,19651,18850,56906
-80,-80,-35,-15,10,10,60,70,70,80,18405,19651,18850,56906
-80,-80,-15,5,10,10,60,70,70,80,18405,19653,18846,56904
-80,-80,-35,-5,10,10,60,70,70,80,18405,19647,18850,56902
-80,-80,-25,-5,10,10,60,70,70,80,18405,19647,18850,56902
-80,-65,-35,5,10,10,60,70,70,80,18364,19677,18860,56901
-80,-65,-25,5,10,10,60,70,70,80,18364,19677,18860,56901
-75,-65,-35,5,10,10,60,70,70,80,18364,19677,18860,56901
-75,-65,-25,5,10,10,60,70,70,80,18364,19677,18860,56901
-70,-65,-35,5,10,10,60,70,70,80,18364,19677,18860,56901
-70,-65,-25,5,10,10,60,70,70,80,18364,19677,18860,56901
