PEPPER_HISTORY_LENGTH,PEPPER_MUST_SELL_BUY_COEFF,PEPPER_ALPHA,day_-2_profit,day_-1_profit,day_0_profit,total_profit
29,0.32,15,101309,101957,101789,305055
99,0.32,9,101308,102325,102025,305658
44,0.38,12,101308,102226,102067,305601
39,0.365,14,101308,102188,101996,305492
39,0.36,13,101308,102188,101974,305470
299,0.34,14,101308,102177,101894,305379
99,0.4,17,101308,102153,101881,305342
44,0.33,13,101308,102090,101935,305333
39,0.32,14,101308,102041,101797,305146
69,0.32,18,101308,101941,101626,304875
129,0.28,9,101307,102308,101682,305297
299,0.3,20,101307,102003,101664,304974
99,0.34,14,101306,102220,101911,305437
299,0.34,12,101306,102173,101783,305262
129,0.32,21,101306,101781,101697,304784
59,0.32,11,101305,102214,102054,305573
129,0.34,8,101305,102238,101969,305512
49,0.33,13,101305,102060,101903,305268
99,0.3,15,101305,102019,101720,305044
39,0.48,21,101305,101927,101786,305018
44,0.36,8,101304,102307,102061,305672
129,0.32,13,101304,102279,101815,305398
129,0.32,16,101304,102138,101915,305357
29,0.33,9,101303,102250,102013,305566
399,0.3,16,101303,102166,101819,305288
299,0.34,20,101303,102116,101752,305171
49,0.32,9,101302,102334,102060,305696
69,0.4,13,101302,102285,102031,305618
99,0.42,15,101302,102231,102001,305534
59,0.32,8,101302,102302,101895,305499
29,0.35,13,101302,102211,101875,305388
99,0.34,15,101302,102166,101895,305363
99,0.3,13,101302,102043,101916,305261
99,0.32,18,101302,101962,101702,304966
99,0.32,17,101302,101954,101668,304924
129,0.28,13,101302,102016,101567,304885
129,0.3,18,101302,101939,101494,304735
199,0.26,14,101302,101954,101451,304707
49,0.34,12,101301,102296,102037,305634
44,0.37,8,101301,102215,102005,305521
69,0.32,12,101301,102208,101986,305495
69,0.34,13,101301,102208,101928,305437
129,0.3,12,101301,102297,101688,305286
69,0.44,19,101301,102100,101828,305229
199,0.34,20,101301,102062,101721,305084
39,0.41,12,101300,102300,102022,305622
29,0.35,12,101300,102248,101931,305479
129,0.34,19,101300,101956,101812,305068
99,0.34,19,101300,101942,101762,305004
99,0.28,4,101300,102093,101469,304862
199,0.42,18,101299,102230,101998,305527
69,0.32,17,101299,101940,101628,304867
29,0.41,11,101298,102309,102103,305710
59,0.34,13,101298,102199,102000,305497
69,0.44,18,101298,102122,101906,305326
69,0.44,21,101298,101983,101732,305013
39,0.34,10,101297,102301,102034,305632
39,0.32,12,101297,102081,101883,305261
129,0.32,19,101297,101912,101647,304856
19,0.3,8,101296,102358,101799,305453
49,0.34,6,101296,102214,101795,305305
29,0.36,15,101296,102107,101896,305299
49,0.34,17,101296,102082,101743,305121
29,0.3,12,101296,101942,101679,304917
59,0.32,9,101295,102333,102035,305663
99,0.3,11,101295,102215,101714,305224
29,0.32,13,101295,101980,101824,305099
44,0.33,11,101294,102235,101934,305463
99,0.42,19,101294,102142,101878,305314
39,0.34,16,101294,101967,101954,305215
129,0.28,8,101294,102109,101604,305007
99,0.34,20,101294,101948,101762,305004
129,0.28,12,101294,102034,101642,304970
49,0.32,8,101293,102326,101923,305542
39,0.34,12,101293,102193,102020,305506
34,0.33,12,101293,102119,101868,305280
399,0.3,14,101293,102249,101737,305279
39,0.38,9,101292,102341,102033,305666
59,0.38,12,101292,102232,102070,305594
44,0.35,11,101292,102218,102049,305559
29,0.36,13,101292,102231,101962,305485
99,0.32,12,101292,102246,101860,305398
129,0.3,11,101292,102313,101777,305382
29,0.32,12,101292,102227,101783,305302
99,0.46,17,101292,102204,101792,305288
99,0.3,4,101292,101829,101553,304674
39,0.395,11,101291,102278,102071,305640
29,0.33,10,101291,102232,102014,305537
39,0.38,14,101291,102150,101997,305438
44,0.32,13,101291,102041,101906,305238
34,0.34,12,101290,102220,101912,305422
39,0.35,12,101290,102175,101935,305400
39,0.345,12,101290,102159,101943,305392
99,0.3,17,101290,101914,101439,304643
69,0.32,11,101289,102236,101977,305502
129,0.42,15,101289,102209,101840,305338
129,0.32,15,101289,102138,101799,305226
299,0.3,14,101288,102270,101788,305346
29,0.36,14,101288,102210,101800,305298
399,0.3,12,101288,102140,101790,305218
39,0.4,11,101287,102282,102110,305679
99,0.46,20,101287,102170,101974,305431
99,0.42,20,101287,102121,101736,305144
399,0.3,10,101287,101944,101635,304866
44,0.38,10,101286,102307,102112,305705
44,0.39,11,101286,102278,102129,305693
29,0.34,11,101286,102291,102018,305595
99,0.36,15,101286,102230,101934,305450
99,0.32,21,101286,101826,101588,304700
39,0.345,10,101285,102333,102021,305639
34,0.34,11,101285,102248,102047,305580
29,0.36,12,101285,102258,102019,305562
34,0.32,8,101285,102246,101976,305507
39,0.345,13,101285,102180,101972,305437
19,0.3,6,101285,102264,101706,305255
129,0.28,10,101285,102161,101659,305105
34,0.4,11,101284,102336,102107,305727
129,0.38,12,101284,102232,101973,305489
29,0.34,12,101284,102260,101924,305468
129,0.3,16,101284,102113,101769,305166
299,0.3,18,101284,102073,101769,305126
49,0.35,13,101283,102284,102021,305588
29,0.34,10,101283,102265,101998,305546
69,0.36,7,101283,102234,101781,305298
19,0.38,16,101283,102119,101887,305289
49,0.32,13,101283,102102,101887,305272
39,0.385,10,101282,102346,102071,305699
29,0.37,13,101282,102250,101952,305484
99,0.46,19,101282,102179,101986,305447
39,0.35,14,101282,102097,101967,305346
39,0.355,14,101282,102097,101967,305346
49,0.36,15,101282,102073,101915,305270
99,0.28,12,101282,101972,101653,304907
299,0.3,8,101282,101966,101581,304829
